Name,Duration
"War in Afghanistan, 2001-21",7268
"NATO Intervention in Bosnia, 1993-2004",4296
"Laos Civil War, 1962-1973",4063
"Iraq: Operation Southern Watch, Operation Vigilant Warrior, Operation Provide Comfort I,II/ Operation Northern Watch",3858
"US Recognition of Panama, 1903-14",3734
"Salvadorian Civil War,1981-92",3597
"Military Advisors to Vietnam, 1955-64",3461
"Mexico Border Crossings by U.S. Troops, 1873-82",3333
"Iran Border Fortification, 2004-11",3203
"Operation Iraqi Freedom, 2003-11",3196
"Military Occupation of Dom. Rep, 1916-24",3122
"Removal of Nicaraguan Pres., 1926-33",3119
"The Mexican Revolution, 1911-19",3106
"UN Mission in Ethiopia and Eritrea, 2000-8",2954
"Philippine-American War, 1899-1906",2589
"PRK Tension, 1993-99",2128
"UN Resolution 842, 1993-99",2082
"U.S. involvement in Syrian Civil War, 2014-19",1868
"US Occupation of Haiti, 1915-20",1755
"Cambodia Bombing Campaign, 1964-69",1753
"U.S. Support for Honduras, 1983-88",1710
